shots,attack,drift,eta_c_conventional_psecure50,eta_c_uvif_pstable50,eta_c_uvif_score50,mean_resource_force,mean_n_eff
20000,0.3,0.005,0.0747127659574468,,,0.0,18810.0
20000,0.35,0.005,0.07181,,,0.0,18630.0
20000,0.4,0.005,0.06895555555555556,,,0.0,18450.0
20000,0.05,0.01,0.08274999999999999,,0.0145136794895824,0.0,19600.0
20000,0.1,0.01,0.07964102564102564,,0.010639635829441812,0.0,19420.0
20000,0.15,0.01,0.07729545454545454,,,0.0,19240.0
20000,0.2,0.01,0.07481730769230768,,,0.0,19060.0
20000,0.25,0.01,0.07183333333333333,,,0.0,18880.0
20000,0.3,0.01,0.06985000000000001,,,0.0,18700.0
20000,0.35,0.01,0.06555128205128205,,,0.0,18520.0
20000,0.4,0.01,0.06369318181818182,,,0.0,18340.0
20000,0.05,0.02,0.07166666666666667,,,0.0,19380.0
20000,0.1,0.02,0.06885526315789474,,,0.0,19200.0
20000,0.15,0.02,0.06582500000000001,,,0.0,19020.0
20000,0.2,0.02,0.06354255319148937,,,0.0,18840.0
20000,0.25,0.02,0.06079069767441861,,,0.0,18660.0
20000,0.3,0.02,0.05767,,,0.0,18480.0
20000,0.35,0.02,0.05539705882352941,,,0.0,18300.0
20000,0.4,0.02,0.05293333333333334,,,0.0,18120.0
20000,0.05,0.03,0.06071111111111111,,,0.0,19160.0
20000,0.1,0.03,0.05806666666666667,,,0.0,18980.0
20000,0.15,0.03,0.05441666666666667,,,0.0,18800.0
20000,0.2,0.03,0.05273684210526316,,,0.0,18620.0
20000,0.25,0.03,0.04955813953488372,,,0.0,18440.0
20000,0.3,0.03,0.047012500000000006,,,0.0,18260.0
20000,0.35,0.03,0.0444,,,0.0,18080.0
20000,0.4,0.03,0.04094318181818182,,,0.0,17900.0
