eta,attack,drift,shots,p_conventional_secure,p_uvif_stable,finite_key_margin_mean,uvif_score_mean,resource_force_mean,n_eff_mean
0.18500000000000003,0.15,0.005,2000,0.0,0.0,-0.5346945066873785,0.040375451093333924,1.273314464901578,1935.0
0.1885,0.15,0.005,2000,0.0,0.0,-0.5493518429396822,0.038684778352469404,1.273314464901578,1935.0
0.192,0.15,0.005,2000,0.0,0.0,-0.566099971324304,0.03676882565613027,1.273314464901578,1935.0
0.1955,0.15,0.005,2000,0.0,0.0,-0.5830850306276054,0.034926825003285186,1.273314464901578,1935.0
0.199,0.15,0.005,2000,0.0,0.0,-0.5879339861763306,0.034378009824451564,1.273314464901578,1935.0
0.2025,0.15,0.005,2000,0.0,0.0,-0.602034379361194,0.032874607833739564,1.273314464901578,1935.0
0.20600000000000002,0.15,0.005,2000,0.0,0.0,-0.6164603246352747,0.03141704478017758,1.273314464901578,1935.0
0.20950000000000002,0.15,0.005,2000,0.0,0.0,-0.623980426928034,0.030690777101210702,1.273314464901578,1935.0
0.21300000000000002,0.15,0.005,2000,0.0,0.0,-0.6366807456305063,0.029423879062159857,1.273314464901578,1935.0
0.21650000000000003,0.15,0.005,2000,0.0,0.0,-0.6541273559523182,0.02775915078264085,1.273314464901578,1935.0
0.22,0.15,0.005,2000,0.0,0.0,-0.658919978634605,0.027371204702207514,1.273314464901578,1935.0
0.01,0.2,0.005,2000,1.0,0.0,0.488233331053564,0.31250334119545403,1.2839623660917725,1917.0
0.0135,0.2,0.005,2000,1.0,0.0,0.4687340215288499,0.30549829170716974,1.2839623660917725,1917.0
0.017,0.2,0.005,2000,1.0,0.0,0.4275241644716378,0.2906298788258549,1.2839623660917725,1917.0
0.0205,0.2,0.005,2000,1.0,0.0,0.4009817107515799,0.28104391406456286,1.2839623660917725,1917.0
0.024,0.2,0.005,2000,1.0,0.0,0.37268557927728896,0.270790772039258,1.2839623660917725,1917.0
0.027500000000000004,0.2,0.005,2000,1.0,0.0,0.3409625044509862,0.2593133770014629,1.2839623660917725,1917.0
0.031,0.2,0.005,2000,1.0,0.0,0.31390566914277873,0.24957932624424606,1.2839623660917725,1917.0
0.0345,0.2,0.005,2000,1.0,0.0,0.28098267488352324,0.23780042696883133,1.2839623660917725,1917.0
0.038,0.2,0.005,2000,1.0,0.0,0.2506847608076102,0.2270811206034768,1.2839623660917725,1917.0
0.0415,0.2,0.005,2000,1.0,0.0,0.22853879311448155,0.2193359126747098,1.2839623660917725,1917.0
0.045000000000000005,0.2,0.005,2000,1.0,0.0,0.20216055938359007,0.21029135620921552,1.2839623660917725,1917.0
0.0485,0.2,0.005,2000,1.0,0.0,0.17945432943405465,0.20250595598605475,1.2839623660917725,1917.0
0.052000000000000005,0.2,0.005,2000,1.0,0.0,0.1434296730135788,0.19038160174418908,1.2839623660917725,1917.0
0.0555,0.2,0.005,2000,1.0,0.0,0.12181370725501765,0.18335170741599074,1.2839623660917725,1917.0
0.059000000000000004,0.2,0.005,2000,0.9875,0.0,0.10497433299933616,0.17785488915845812,1.2839623660917725,1917.0
0.0625,0.2,0.005,2000,0.975,0.0,0.08225301011016697,0.17071082173980884,1.2839623660917725,1917.0
0.066,0.2,0.005,2000,0.875,0.0,0.051189293043562976,0.1610492417237063,1.2839623660917725,1917.0
