eta,attack,drift,shots,qber_obs_mean,qber_obs_sd,n_eff_mean,finite_key_margin_mean,finite_key_margin_sd,psi_mean,p_conventional_secure,p_conventional_transition,p_conventional_insecure,uvif_energy_mean,uvif_energy_sd,uvif_score_mean,p_uvif_stable,p_uvif_transition,p_uvif_unstable,risk_force_mean,uncertainty_force_mean,complexity_force_mean,resource_force_mean,leakage_force_mean,stability_reward_mean
0.045000000000000005,0.05,0.005,10000,0.061943176052765093,0.002527824738128333,9855.0,0.296994583539281,0.019792718838064022,2.6999507594480088,1.0,0.0,0.0,0.4068617345002151,0.039166013820184274,0.39970164385822166,0.0,0.98,0.02,0.5631197822978645,0.019179245804750385,0.0040998528157167174,0.007329808692499107,0.08345738203957383,0.2884576362811027
0.0485,0.05,0.005,10000,0.06549771689497717,0.0020648115148409734,9855.0,0.2693734741112343,0.015851571131017424,2.448849764647585,1.0,0.0,0.0,0.46181035319089786,0.031893520813860106,0.38658346475269434,0.0,0.81,0.19,0.5954337899543379,0.019933951315495742,0.0039980994673319,0.007329808692499107,0.08612328767123287,0.26298072097192127
0.052000000000000005,0.05,0.005,10000,0.06902181633688484,0.0027109823858562816,9855.0,0.2426971189445895,0.020313045887620167,2.2063374449508135,1.0,0.0,0.0,0.5161916325511097,0.04176713803724504,0.37379452047396433,0.0,0.23,0.77,0.6274710576080438,0.020661990067869344,0.0041221394976604896,0.007329808692499107,0.08876636225266366,0.2379505132836116
0.0555,0.05,0.005,10000,0.07293150684931507,0.0024373022017256094,9855.0,0.21364570691736506,0.017846314439515808,1.942233699248773,1.0,0.0,0.0,0.5762586153084176,0.037441539130202546,0.3598389774016278,0.0,0.01,0.99,0.6630136986301369,0.021454222973928298,0.0040690818115453435,0.007329808692499107,0.09169863013698631,0.2103904271715959
0.059000000000000004,0.05,0.005,10000,0.07608726534753932,0.00277897131071555,9855.0,0.1907361355724574,0.020016281049518376,1.7339648688405211,1.0,0.0,0.0,0.6245901908109368,0.04249454376028033,0.34879965508884114,0.0,0.0,1.0,0.6917024122503577,0.022078376644558726,0.004138873135407826,0.007329808692499107,0.0940654490106545,0.1883842918394665
0.0625,0.05,0.005,10000,0.07957990867579909,0.0028468151938830935,9855.0,0.16582344327302226,0.020150365083334704,1.5074858479365656,1.0,0.0,0.0,0.6778884826204835,0.043336039827516715,0.33680026463268076,0.0,0.0,1.0,0.723453715234537,0.02275664240064737,0.004210791552680631,0.007329808692499107,0.09668493150684933,0.16425521359196515
0.066,0.05,0.005,10000,0.08320852359208523,0.003053792860171136,9855.0,0.14046331475044016,0.021063687301069434,1.2769392250040015,1.0,0.0,0.0,0.7329808668769493,0.0463120061282032,0.32462310336767386,0.0,0.0,1.0,0.7564411235644112,0.023446571135521777,0.004221461187214611,0.007329808692499107,0.09940639269406393,0.1394879907567073
0.0695,0.05,0.005,10000,0.08597666159309995,0.0030409438846373104,9855.0,0.12143605389711983,0.02077367178064704,1.1039641263374531,1.0,0.0,0.0,0.7748496135903689,0.04584565533396587,0.31551368570474175,0.0,0.0,1.0,0.781606014482727,0.023963902615165397,0.004241422450137889,0.007329808692499107,0.101482496194825,0.12079123157975617
0.073,0.05,0.005,10000,0.08993505834601725,0.003129806904591587,9855.0,0.09472487430080148,0.020950539510375222,0.861135220916377,1.0,0.0,0.0,0.8344253570879313,0.04696423809750087,0.302800794516296,0.0,0.0,1.0,0.8175914395092478,0.02468969647737634,0.004250600761147818,0.007329808692499107,0.10445129375951293,0.09440107605802893
0.0765,0.05,0.005,10000,0.09321156773211565,0.003172033709936581,9855.0,0.07303003089379936,0.020823211477412708,0.6639093717618124,1.0,0.0,0.0,0.883471520974384,0.04735123919671165,0.29255419564604707,0.0,0.0,1.0,0.8473778884737787,0.025278820960292468,0.00423987610327514,0.007329808692499107,0.10690867579908676,0.0728693268954614
0.08,0.05,0.005,10000,0.09650329781836631,0.003006631731609256,9855.0,0.051582756970773254,0.01938119177362037,0.4689341542797569,0.98,0.01,0.01,0.9325181547603322,0.04462000023712024,0.2825010933774978,0.0,0.0,1.0,0.877302707439694,0.02586092553220383,0.004239195661705621,0.007329808692499107,0.10937747336377475,0.05151829667951271
0.08349999999999999,0.05,0.005,10000,0.10047387113140535,0.0030222657727861425,9855.0,0.026212240815060336,0.019151116639768342,0.23829309831873036,0.89,0.06,0.05,0.9913210934182725,0.044617238508746396,0.270740274126236,0.0,0.0,1.0,0.9133988284673217,0.026549102606736333,0.004233219787135818,0.007329808692499107,0.11235540334855404,0.026196147332184082
0.087,0.05,0.005,10000,0.1038863521055302,0.0029815896300975733,9855.0,0.004805230215695846,0.0185494847484603,0.04368391105178042,0.56,0.07,0.37,1.0415424919647258,0.0437593830448033,0.26093980887468965,0.0,0.0,1.0,0.9444213827775472,0.027129458956704548,0.004201545890354553,0.007329808692499107,0.11491476407914768,0.004803340141662348
0.0905,0.05,0.005,10000,0.1072166412988331,0.003067005807558127,9855.0,-0.015726279289814477,0.01874747609128678,-0.1429661753619498,0.18,0.08,0.74,1.0902937255032357,0.0447235751991327,0.2516555799446895,0.0,0.0,1.0,0.9746967390803006,0.027685809296006808,0.004239117199391172,0.007329808692499107,0.11741248097412482,-0.015719399121435246
0.094,0.05,0.005,10000,0.11127549467275495,0.0031850167279515924,9855.0,-0.04029616057347104,0.019151338341752148,-0.3663287324861003,0.01,0.01,0.98,1.149314052435433,0.046179300734169385,0.24071429538830225,0.0,0.0,1.0,1.011595406115954,0.028351261095025834,0.004263244673036971,0.007329808692499107,0.12045662100456621,-0.04026067745187554
0.0975,0.05,0.005,10000,0.11456418061897514,0.002904030341346728,9855.0,-0.05988419692112716,0.01714819269841184,-0.5444017901920649,0.0,0.0,1.0,1.196796606897699,0.04184052057635235,0.23212827625362198,0.0,0.0,1.0,1.0414925510815922,0.028881562365728693,0.004166646423248274,0.007329808692499107,0.12292313546423136,-0.05979557539840439
0.10099999999999999,0.05,0.005,10000,0.11823033992897009,0.003049933075508477,9855.0,-0.08131827033553779,0.017675646173588327,-0.7392570030503434,0.0,0.0,1.0,1.24942458142238,0.04364420421679096,0.22289023729415267,0.0,0.0,1.0,1.074821272081546,0.02946157125012967,0.004215170700659853,0.007329808692499107,0.12567275494672756,-0.08111452323961553
0.1045,0.05,0.005,10000,0.1214236428209031,0.0033889410977060107,9855.0,-0.09966516162577731,0.01937752673693048,-0.9060469238707027,0.0,0.0,1.0,1.2949725740316804,0.04817809652785897,0.21512279775926718,0.0,0.0,1.0,1.1038512983718465,0.02995783294856897,0.004304868645470496,0.007329808692499107,0.12806773211567732,-0.09930036175235106
0.108,0.05,0.005,10000,0.1250908168442415,0.0032215780260522026,9855.0,-0.12044309092392502,0.018178789252186394,-1.0949371902175002,0.0,0.0,1.0,1.346925721548656,0.04550815420515317,0.20647201058002854,0.0,0.0,1.0,1.1371892440385591,0.030519669876770086,0.004271406545239495,0.007329808692499107,0.13081811263318113,-0.11982678020589915
0.1115,0.05,0.005,10000,0.12882293252156266,0.0033725970542559094,9855.0,-0.14119814332921654,0.018612859568758484,-1.2836194848110594,0.0,0.0,1.0,1.3994237382404047,0.04730684664611102,0.19801377441329507,0.0,0.0,1.0,1.171117568377842,0.03108065535867837,0.004304182877219973,0.007329808692499107,0.133617199391172,-0.1402202770795855
0.11499999999999999,0.05,0.005,10000,0.13207102993404363,0.0035858518745497986,9855.0,-0.1589618494785557,0.01948239807143061,-1.4451077225323246,0.0,0.0,1.0,1.4448184023875554,0.04996488270778817,0.19091822874677356,0.0,0.0,1.0,1.2006457266731239,0.03156061482552529,0.004385045585827741,0.007329808692499107,0.13605327245053275,-0.15757865275993044
0.1185,0.05,0.005,10000,0.1356052765093861,0.0032684054276995796,9855.0,-0.17803555980011462,0.017499407142428404,-1.6185050890919512,0.0,0.0,1.0,1.4938439869197737,0.04523481548685508,0.18344151551925428,0.0,0.0,1.0,1.2327752409944188,0.03207582623850892,0.0042700324962512285,0.007329808692499107,0.13870395738203956,-0.1761267431799495
0.122,0.05,0.005,10000,0.13921055301877222,0.0032812291662218315,9855.0,-0.19714747861723192,0.017237485863119236,-1.7922498056111993,0.0,0.0,1.0,1.5435424029665998,0.045081359528604974,0.17611538739820712,0.0,0.0,1.0,1.2655504819888383,0.032591883679954206,0.004310437443147993,0.007329808692499107,0.14140791476407913,-0.1945772149885671
0.1255,0.05,0.005,10000,0.1420010147133435,0.00352904287306021,9855.0,-0.21170522956540844,0.018334956154520878,-1.924592996049167,0.0,0.0,1.0,1.581767740257744,0.04814252752460083,0.17065221271232495,0.0,0.0,1.0,1.29091831557585,0.03298484735494111,0.004396267808049963,0.007329808692499107,0.14350076103500758,-0.20853197399804502
0.129,0.05,0.005,10000,0.14556671740233385,0.0031658412423046694,9855.0,-0.23009327512268576,0.016167724309144465,-2.091757046569871,0.0,0.0,1.0,1.6302776699359498,0.04288783812575507,0.16387615606663355,0.0,0.0,1.0,1.3233337945666712,0.033481095780751396,0.004308399695360377,0.007329808692499107,0.1461750380517504,-0.2260613801953633
0.1325,0.05,0.005,10000,0.14945611364789446,0.00331108529236246,9855.0,-0.24977274311385272,0.01657151126546147,-2.2706613010350254,0.0,0.0,1.0,1.6827740929295292,0.044529586535910964,0.15681736144439773,0.0,0.0,1.0,1.358691942253586,0.03401201196651487,0.004262557077625571,0.007329808692499107,0.14909208523592085,-0.24464217603987776
0.136,0.05,0.005,10000,0.15246778285134452,0.004030445895481917,9855.0,-0.2647242327563426,0.019955048264824027,-2.4065839341485686,0.0,0.0,1.0,1.7231984116421817,0.053854277085856855,0.15158822314167394,0.0,0.0,1.0,1.3860707531940408,0.03441524123880722,0.004479203195782982,0.007329808692499107,0.15135083713850836,-0.25861393395003474
0.1395,0.05,0.005,10000,0.15607508878741755,0.0033638556243507653,9855.0,-0.2824911555989694,0.01639583676899505,-2.5681014145360854,0.0,0.0,1.0,1.7712755076110556,0.04463518649695301,0.14547071098439335,0.0,0.0,1.0,1.4188644435219777,0.03489433606943268,0.004353416361857829,0.007329808692499107,0.15405631659056318,-0.2751415926367832
0.14300000000000002,0.05,0.005,10000,0.15987924911212584,0.003301207517693196,9855.0,-0.30086605145806933,0.015774491088265872,-2.7351459223460846,0.0,0.0,1.0,1.8215924113338842,0.043501542875387385,0.13932377457708606,0.0,0.0,1.0,1.453447719201144,0.03538966510981154,0.004330548858221867,0.007329808692499107,0.15690943683409436,-0.2920389594889319
0.14650000000000002,0.05,0.005,10000,0.16433384069000506,0.003679336698662533,9855.0,-0.3219548066027359,0.01722501328970509,-2.9268618782066893,0.0,0.0,1.0,1.8800329504721212,0.048159385364782904,0.1324818172946268,0.0,0.0,1.0,1.4939440062727736,0.035957970039108965,0.004386373592480069,0.007329808692499107,0.1602503805175038,-0.3111905705451846
0.15000000000000002,0.05,0.005,10000,0.16693860984271944,0.0037816513096203467,9855.0,-0.3341007319068994,0.017523985070260446,-3.0372793809718126,0.0,0.0,1.0,1.913967345056621,0.04914518414923829,0.12863517001522667,0.0,0.0,1.0,1.5176237258429037,0.03628520538390594,0.004390012709341032,0.007329808692499107,0.16220395738203958,-0.3221128029717298
0.15350000000000003,0.05,0.005,10000,0.17089091831557585,0.0033475958666138285,9855.0,-0.35230503752312087,0.015276065593534758,-3.2027730683920095,0.0,0.0,1.0,1.9651501734337602,0.043227607949525085,0.12298603531960366,0.0,0.0,1.0,1.5535538028688711,0.036775575812993073,0.004321508067422319,0.007329808692499107,0.16516818873668193,-0.33834911576885807
0.157,0.05,0.005,10000,0.1740943683409437,0.0033959263111527447,9855.0,-0.3667975291800105,0.015271664624532102,-3.3345229925455504,0.0,0.0,1.0,2.00633218099959,0.04354282018800524,0.11861455274087276,0.0,0.0,1.0,1.5826760758267613,0.03716585992400614,0.00430262062433073,0.007329808692499107,0.16757077625570777,-0.35111641450223835
0.1605,0.05,0.005,10000,0.17799797057331307,0.0037516835637253715,9855.0,-0.38415871177057065,0.016539015703704512,-3.4923519251870054,0.0,0.0,1.0,2.0562062539172334,0.04780427879709717,0.11351457703217442,0.0,0.0,1.0,1.6181633688483004,0.037633288006288915,0.004400889041434319,0.007329808692499107,0.17049847792998482,-0.36622764195025764
0.164,0.05,0.005,10000,0.18141755454084227,0.0037155429007850226,9855.0,-0.3991445321773793,0.016137544476743135,-3.6285866561579945,0.0,0.0,1.0,2.099576086300151,0.047023640709602486,0.1092211089343882,0.0,0.0,1.0,1.6492504958258383,0.038036682472717256,0.004376030061164824,0.007329808692499107,0.17306316590563164,-0.37913301559089424
0.1675,0.05,0.005,10000,0.18464738711314055,0.003493835684931641,9855.0,-0.41310275464005647,0.014949710867973096,-3.7554795876368763,0.0,0.0,1.0,2.1402714639101026,0.04392147566507999,0.10531468229119609,0.0,0.0,1.0,1.67861261011946,0.03841234731279721,0.004284586682282202,0.007329808692499107,0.17548554033485536,-0.39103066662561015
0.171,0.05,0.005,10000,0.18767021816336885,0.0037028645430588077,9855.0,-0.4259565873178765,0.015646187896883487,-3.872332611980697,0.0,0.0,1.0,2.1782042553513845,0.046252809509377046,0.10180191519332067,0.0,0.0,1.0,1.7060928923942627,0.03875821839198799,0.00441800753407736,0.007329808692499107,0.1777526636225267,-0.4018549620465995
0.17450000000000002,0.05,0.005,10000,0.1910268899036022,0.004322694121403733,9855.0,-0.4399974015367375,0.017978240216846467,-3.999976377606705,0.0,0.0,1.0,2.22004279847586,0.053661095251980734,0.09806612126345478,0.0,0.0,1.0,1.7366080900327479,0.03913595371845411,0.0045549232111728975,0.007329808692499107,0.1802701674277017,-0.41353253012545443
0.17800000000000002,0.05,0.005,10000,0.1947346524606799,0.004297759483170747,9855.0,-0.45531549902504187,0.017600168222488385,-4.139231809318563,0.0,0.0,1.0,2.2659472822152087,0.05301878709536197,0.09407889558356261,0.0,0.0,1.0,1.7703150223698172,0.03954799106670139,0.004523192770111022,0.007329808692499107,0.18305098934550998,-0.42615161492919945
0.18150000000000002,0.05,0.005,10000,0.19903399289700655,0.003995619751329317,9855.0,-0.4727809922274522,0.016108524184007093,-4.298009020249566,0.0,0.0,1.0,2.3188347079119467,0.04901013017873501,0.08965493282732011,0.0,0.0,1.0,1.8093999354273331,0.040017699501752935,0.004508803958058898,0.007329808692499107,0.18627549467275498,-0.44035258719875914
0.18500000000000003,0.05,0.005,10000,0.20207610350076105,0.003894301888850986,9855.0,-0.48492811290054244,0.01542376076675421,-4.408437390004931,0.0,0.0,1.0,2.3559966492257955,0.047465994870864656,0.08666317736406297,0.0,0.0,1.0,1.8370554863705548,0.04034431623340873,0.004470471841704718,0.007329808692499107,0.18855707762557078,-0.45009714764240194
0.1885,0.05,0.005,10000,0.20552409944190764,0.003891868138441523,9855.0,-0.49848740553438814,0.015179211051690886,-4.531703686676256,0.0,0.0,1.0,2.3978794553196123,0.0471455013635997,0.0834045387356476,0.0,0.0,1.0,1.8684009040173424,0.0407088440313364,0.0044385511418909415,0.007329808692499107,0.19114307458143073,-0.46084397125764054
0.192,0.05,0.005,10000,0.2086037544393709,0.003993974732790675,9855.0,-0.5104135049504218,0.01532526678916359,-4.640122772276562,0.0,0.0,1.0,2.4351006736600183,0.04808890161306324,0.08060583131054357,0.0,0.0,1.0,1.8963977676306445,0.04102941422818808,0.004465413926771424,0.007329808692499107,0.19345281582952814,-0.4701821050263971
0.1955,0.05,0.005,10000,0.21218163368848303,0.004050064409726169,9855.0,-0.5240648085835641,0.015336314652876035,-4.764225532577856,0.0,0.0,1.0,2.4780892851264884,0.048504082267960304,0.07747885635061812,0.0,0.0,1.0,1.9289239426225728,0.04139630236212086,0.0044490594370033085,0.007329808692499107,0.19613622526636224,-0.4807451222270793
0.199,0.05,0.005,10000,0.21545205479452056,0.0040086808778496,9855.0,-0.5363561460080709,0.014960481744661655,-4.875964963709736,0.0,0.0,1.0,2.517196479672478,0.04773842264807948,0.07472775024028794,0.0,0.0,1.0,1.9586550435865504,0.04172659210459831,0.00448532298280599,0.007329808692499107,0.19858904109589046,-0.4901422814650165
0.2025,0.05,0.005,10000,0.21902080162354134,0.0038864677132113236,9855.0,-0.5495653170271847,0.014279055393214264,-4.9960483366107695,0.0,0.0,1.0,2.5596042403127472,0.046028677159138026,0.07184385066115764,0.0,0.0,1.0,1.9910981965776486,0.04208149439229189,0.004435387899035735,0.007329808692499107,0.201265601217656,-0.5001187035174532
0.20600000000000002,0.05,0.005,10000,0.22264231354642314,0.00395941882644423,9855.0,-0.5627372863138933,0.014274898850856662,-5.115793511944483,0.0,0.0,1.0,2.602411939823617,0.04663811081669811,0.06904290118505883,0.0,0.0,1.0,2.02402103224021,0.04243534082745408,0.00444737792987197,0.007329808692499107,0.20398173515981732,-0.5099294490745223
0.20950000000000002,0.05,0.005,10000,0.22608625063419588,0.004087290773056138,9855.0,-0.5750565664038142,0.014482479978969509,-5.2277869673074004,0.0,0.0,1.0,2.642905644863995,0.04789158903036296,0.06648850227680012,0.0,0.0,1.0,2.055329551219962,0.04276623247567885,0.0044787720697331964,0.007329808692499107,0.2065646879756469,-0.5189844123635607
0.21300000000000002,0.05,0.005,10000,0.2299837645865043,0.003972962213189337,9855.0,-0.5887789884171865,0.013922103385378788,-5.352536258338058,0.0,0.0,1.0,2.6884544047575663,0.046344622690359494,0.06371371248642144,0.0,0.0,1.0,2.0907614962409484,0.04313476177987687,0.004418370472067324,0.007329808692499107,0.20948782343987818,-0.528943863065605
0.21650000000000003,0.05,0.005,10000,0.23366108574327757,0.004519606428445404,9855.0,-0.6014557905045669,0.015457268071043183,-5.46777991367788,0.0,0.0,1.0,2.731242913483139,0.052445208586395155,0.061223182960228745,0.0,0.0,1.0,2.12419168857525,0.04347515200536165,0.004573979680308891,0.007329808692499107,0.21224581430745812,-0.5379942449587577
0.22,0.05,0.005,10000,0.2368269913749366,0.00487116329885243,9855.0,-0.6122005465697324,0.01644493767052581,-5.565459514270298,0.0,0.0,1.0,2.7678942027296007,0.05621620990442061,0.05916063705810583,0.0,0.0,1.0,2.1529726488630603,0.04376362827466848,0.004682042085179515,0.007329808692499107,0.2146202435312025,-0.5455717008075662
