drift,attack,eta,p_qber_only,p_finite_key_margin,p_uvif_no_resource,p_full_uvif,qber_obs_mean,finite_key_margin_mean,uvif_score_no_resource_mean,uvif_score_full_mean,resource_force_mean
0.005,0.1,0.027500000000000004,1.0,1.0,0.0,0.0,0.04743983614951357,0.41625308533408395,0.45057450894479706,0.4489469200613241,0.011961234531527198
0.005,0.1,0.031,1.0,1.0,0.0,0.0,0.050581669226830515,0.38935395901714065,0.438478849538617,0.4368601929910236,0.011961234531527198
0.005,0.1,0.0345,1.0,1.0,0.0,0.0,0.05408499743983615,0.36007301314427437,0.42509445417248826,0.4234879605688817,0.011961234531527198
0.005,0.1,0.038,1.0,1.0,0.0,0.0,0.0575084485407066,0.3321003366182609,0.41214130773150826,0.4105487260377804,0.011961234531527198
0.005,0.1,0.0415,1.0,1.0,0.0,0.0,0.06091858678955453,0.30490593210415945,0.39938536176480705,0.39780880000249325,0.011961234531527198
0.005,0.1,0.045000000000000005,1.0,1.0,0.0,0.0,0.064678955453149,0.27562078967830056,0.38551790571715855,0.38396127002434816,0.011961234531527198
0.005,0.1,0.0485,1.0,1.0,0.0,0.0,0.06802662570404505,0.25008287369701254,0.37335702045635705,0.3718198063273553,0.011961234531527198
0.005,0.1,0.052000000000000005,1.0,1.0,0.0,0.0,0.07197644649257552,0.22058242791599664,0.35925578144966996,0.35774342779089907,0.011961234531527198
0.005,0.1,0.0555,1.0,1.0,0.0,0.0,0.07531387608806964,0.19620077239569525,0.3475764745882046,0.34608674846764464,0.011961234531527198
0.005,0.1,0.059000000000000004,1.0,1.0,0.0,0.0,0.07883563748079876,0.17096941788841602,0.3354971425727711,0.33403268641115913,0.011961234531527198
0.005,0.1,0.0625,1.0,1.0,0.0,0.0,0.08238197644649257,0.14605853381428455,0.3235939793672442,0.32215628865942586,0.011961234531527198
0.005,0.1,0.066,1.0,1.0,0.0,0.0,0.08596108550947261,0.12139139235553766,0.311851335549561,0.3104418173792656,0.011961234531527198
0.005,0.1,0.0695,1.0,1.0,0.0,0.0,0.08913364055299539,0.09992601352634609,0.3016953470715808,0.30031167226549443,0.011961234531527198
0.005,0.1,0.073,1.0,1.0,0.0,0.0,0.09299334357398874,0.07433909482311284,0.2896744752890752,0.2883233015905766,0.011961234531527198
0.005,0.1,0.0765,1.0,0.99,0.0,0.0,0.09674859190988223,0.04988896502919865,0.2783046010698796,0.2769857469178922,0.011961234531527198
0.005,0.1,0.08,1.0,0.96,0.0,0.0,0.0993026113671275,0.03354737460023847,0.27077406438194507,0.2694776188509486,0.011961234531527198
0.005,0.1,0.08349999999999999,0.99,0.63,0.0,0.0,0.10325140809011776,0.008619938956187555,0.259410472241634,0.258148994345415,0.011961234531527198
0.005,0.1,0.087,0.81,0.18,0.0,0.0,0.10722273425499232,-0.01589069620423521,0.24840938726318196,0.24718359785855115,0.011961234531527198
0.005,0.1,0.0905,0.49,0.04,0.0,0.0,0.11011879160266258,-0.033432063799117694,0.24065941659566353,0.2394598169221716,0.011961234531527198
0.005,0.1,0.094,0.16,0.0,0.0,0.0,0.11359754224270353,-0.05425209890744186,0.23156760156899053,0.2303994971038496,0.011961234531527198
0.005,0.1,0.0975,0.02,0.0,0.0,0.0,0.11670558115719405,-0.0725238322832269,0.2237194723160146,0.22257952796086852,0.011961234531527198
0.005,0.1,0.10099999999999999,0.0,0.0,0.0,0.0,0.12066769073220686,-0.09546777252779182,0.2140342579367647,0.21293005522044503,0.011961234531527198
0.005,0.1,0.1045,0.0,0.0,0.0,0.0,0.12474244751664106,-0.11861383053790683,0.20446138809440217,0.20339373864786062,0.011961234531527198
0.005,0.1,0.108,0.0,0.0,0.0,0.0,0.12851408090117766,-0.13960893190271811,0.19598161668914024,0.19494743892984834,0.011961234531527198
0.005,0.1,0.1115,0.0,0.0,0.0,0.0,0.1312616487455197,-0.15471871946512739,0.1899779446927293,0.18896792253165717,0.011961234531527198
