model,attack,drift,eta_c_probability50,eta_c_boot_low,eta_c_boot_median,eta_c_boot_high,eta_c_ci_width,n_valid_bootstrap_boundaries
QBER only,0.3,0.03,0.0572948717948718,0.05653126495215311,0.05730151515151516,0.05797226102941177,0.0014409960772586577,160
UVIF without resource,0.3,0.03,,,,,,0
Finite-key margin,0.35,0.03,0.043133333333333336,0.04260388157894737,0.04314285714285715,0.04362752557544757,0.0010236439965001995,160
Full UVIF,0.35,0.03,,,,,,0
QBER only,0.35,0.03,0.054625,0.054015085227272726,0.054655172413793106,0.05557698138297872,0.0015618961557059968,160
UVIF without resource,0.35,0.03,,,,,,0
Finite-key margin,0.4,0.03,0.040100000000000004,0.03959782608695652,0.04007275132275132,0.04064720420342501,0.0010493781164684912,160
Full UVIF,0.4,0.03,,,,,,0
QBER only,0.4,0.03,0.050833333333333335,0.05020381944444445,0.050833333333333335,0.05158843325791856,0.0013846138134741073,160
UVIF without resource,0.4,0.03,,,,,,0
