eta,attack,drift,shots,qber_obs_mean,qber_obs_sd,n_eff_mean,finite_key_margin_mean,finite_key_margin_sd,psi_mean,p_conventional_secure,p_conventional_transition,p_conventional_insecure,uvif_energy_mean,uvif_energy_sd,uvif_score_mean,p_uvif_stable,p_uvif_transition,p_uvif_unstable,risk_force_mean,uncertainty_force_mean,complexity_force_mean,resource_force_mean,leakage_force_mean,stability_reward_mean,dp_conventional_secure_deta,dp_uvif_stable_deta,d_uvif_score_deta,profile
0.122,0.1,0.005,10000,0.14244342037890426,0.003589144490660055,9765.0,-0.21411491825449025,0.01860028631286154,-1.946499256859003,0.0,0.0,1.0,1.611570534646157,0.04904406150345048,0.1664808361596494,0.0,0.0,1.0,1.294940185262766,0.03306281853005031,0.004382290183156046,0.011961234531527198,0.17633256528417818,-0.21083294809547223,0.0,0.0,-1.845524836528302,"a=0.10, d=0.005"
0.1255,0.1,0.005,10000,0.14498003072196622,0.003665451716946438,9765.0,-0.22717390222624773,0.01878571095802484,-2.0652172929658885,0.0,0.0,1.0,1.6460647981278422,0.04974760262866709,0.16175384826905592,0.0,0.0,1.0,1.318000279290602,0.03341535693188319,0.004343751570887022,0.011961234531527198,0.17823502304147465,-0.2232710862026636,0.0,0.0,-1.5271589129394627,"a=0.10, d=0.005"
0.129,0.1,0.005,10000,0.14827547363031235,0.0035512303975332024,9765.0,-0.24393399969784735,0.01790592892481108,-2.217581815434976,0.0,0.0,1.0,1.6906661917933001,0.04784041783827598,0.15579072376907316,0.0,0.0,1.0,1.3479588511846579,0.0338677088181957,0.0043541279149730445,0.011961234531527198,0.1807066052227342,-0.23913653630767623,0.0,0.0,-1.8243027020849212,"a=0.10, d=0.005"
0.1325,0.1,0.005,10000,0.15220993343573988,0.0038047095113693183,9765.0,-0.2635866424408749,0.018913088945099275,-2.396242204007953,0.0,0.0,1.0,1.7434967682975273,0.050925167281931166,0.14898372935446144,0.0,0.0,1.0,1.3837266675976352,0.03439795889477906,0.004367659265563807,0.011961234531527198,0.18365745007680495,-0.25756270414630145,0.0,0.0,-1.800180854518029,"a=0.10, d=0.005"
0.136,0.1,0.005,10000,0.1556989247311828,0.003966696208636397,9765.0,-0.2807303193355812,0.019305861951107076,-2.552093812141647,0.0,0.0,1.0,1.790026940925808,0.05269627068508925,0.14318945778744693,0.0,0.0,1.0,1.41544477028348,0.03486038532935263,0.004422777824252643,0.011961234531527198,0.18627419354838715,-0.2734871585320109,0.0,0.0,-1.7542227134822497,"a=0.10, d=0.005"
0.1395,0.1,0.005,10000,0.15976753712237582,0.0038796075980556616,9765.0,-0.3004073352070948,0.018548945948608005,-2.7309757746099534,0.0,0.0,1.0,1.8438787528165428,0.051187934301202324,0.1367041703600857,0.0,0.0,1.0,1.452432155657962,0.03539100412348042,0.0044168935904033,0.011961234531527198,0.18932565284178193,-0.2915942357634885,0.0,0.0,-1.5614643289004846,"a=0.10, d=0.005"
0.14300000000000002,0.1,0.005,10000,0.16266052227342553,0.0035277573398096985,9765.0,-0.3142037814397062,0.016642977494160882,-2.856398013088238,0.0,0.0,1.0,1.881905923513619,0.04623648970118293,0.13225920748514353,0.0,0.0,1.0,1.4787320206675045,0.03576296054496944,0.004347698086834855,0.011961234531527198,0.19149539170506916,-0.30418066837209595,0.0,0.0,-1.458770326061206,"a=0.10, d=0.005"
0.14650000000000002,0.1,0.005,10000,0.16659088581669224,0.003762435202278724,9765.0,-0.33260810415755054,0.0174987304286738,-3.0237100377959134,0.0,0.0,1.0,1.9332189539768196,0.04898449340036882,0.12649277807765724,0.0,0.0,1.0,1.5144625983335664,0.03625900544626121,0.004389193967470134,0.011961234531527198,0.1944431643625192,-0.32077528555652335,0.0,0.0,-1.5262763231020706,"a=0.10, d=0.005"
0.15000000000000002,0.1,0.005,10000,0.17009114183307733,0.004005067722163816,9765.0,-0.3487250438132592,0.0183324740573305,-3.1702276710296298,0.0,0.0,1.0,1.978601492006411,0.051782766532618076,0.12157527322342904,0.0,0.0,1.0,1.5462831075734302,0.036693290520411426,0.004464135735428689,0.011961234531527198,0.19706835637480802,-0.335145556032205,0.0,0.0,-1.280228318498576,"a=0.10, d=0.005"
0.15350000000000003,0.1,0.005,10000,0.17306298003072196,0.0036995698120524867,9765.0,-0.3622522124648193,0.016672055419564378,-3.2932019314983574,0.0,0.0,1.0,2.0168731416297807,0.04751546283438917,0.1175311798481672,0.0,0.0,1.0,1.5732998184611084,0.03705773101834066,0.004374227761363213,0.011961234531527198,0.1992972350230415,-0.34711217581873227,0.0,0.0,-1.2340487663192938,"a=0.10, d=0.005"
